date,hors,u,v,ws,wd
2009070100,1,3.51,-2.43,4.27,124.75
2009070100,2,2.96,-2.12,3.65,125.63
2009070100,3,2.47,-2.02,3.19,129.29
2009070100,4,2.05,-2.06,2.9,135.14
2009070100,5,1.72,-2.11,2.72,140.85
2009070100,6,1.53,-2.07,2.57,143.52
2009070100,7,1.49,-1.86,2.38,141.17
2009070100,8,1.55,-1.62,2.24,136.2
2009070100,9,1.63,-1.55,2.25,133.67
2009070100,10,1.65,-1.78,2.43,137.08
2009070100,11,1.63,-2.1,2.66,142.1
2009070100,12,1.58,-2.24,2.74,144.79
2009070100,13,1.51,-1.99,2.49,142.77
2009070100,14,1.49,-1.44,2.07,134.12
2009070100,15,1.59,-0.78,1.77,116.04
2009070100,16,1.85,-0.14,1.85,94.41
2009070100,17,2.21,0.32,2.24,81.68
2009070100,18,2.59,0.5,2.63,79.09
2009070100,19,2.88,0.31,2.89,83.82
2009070100,20,2.96,-0.1,2.96,91.97
2009070100,21,2.71,-0.55,2.77,101.48
2009070100,22,2.09,-0.87,2.26,112.7
2009070100,23,1.41,-1.02,1.74,125.93
2009070100,24,1.06,-0.96,1.43,132.08
2009070100,25,1.31,-0.7,1.49,118.06
2009070100,26,1.83,-0.35,1.86,100.93
2009070100,27,2.12,-0.06,2.12,91.55
2009070100,28,1.87,0.08,1.87,87.48
2009070100,29,1.34,0.11,1.34,85.33
2009070100,30,0.93,0.1,0.94,83.74
2009070100,31,0.97,0.11,0.98,83.57
2009070100,32,1.36,0.05,1.36,87.78
2009070100,33,1.89,-0.18,1.89,95.39
2009070100,34,2.36,-0.64,2.45,105.19
2009070100,35,2.56,-1.19,2.82,114.93
2009070100,36,2.25,-1.62,2.77,125.77
2009070100,37,1.35,-1.79,2.24,142.93
2009070100,38,0.3,-1.72,1.75,170.12
2009070100,39,-0.33,-1.49,1.53,192.58
2009070100,40,-0.14,-1.18,1.19,186.76
2009070100,41,0.61,-0.89,1.08,145.83
2009070100,42,1.47,-0.73,1.64,116.47
2009070100,43,2.09,-0.77,2.23,110.2
