date,hors,u,v,ws,wd
2009070100,1,3.15,-2.15,3.81,124.27
2009070100,2,3.15,-1.9,3.68,121.07
2009070100,3,3.15,-1.85,3.66,120.49
2009070100,4,3.15,-1.94,3.7,121.62
2009070100,5,3.12,-2.04,3.72,123.22
2009070100,6,3.03,-2.05,3.66,124.11
2009070100,7,2.88,-1.89,3.45,123.27
2009070100,8,2.77,-1.61,3.2,120.18
2009070100,9,2.8,-1.29,3.09,114.74
2009070100,10,3.05,-1.01,3.21,108.32
2009070100,11,3.35,-0.8,3.44,103.38
2009070100,12,3.49,-0.68,3.55,100.95
2009070100,13,3.34,-0.65,3.4,101.04
2009070100,14,3.09,-0.66,3.16,102.01
2009070100,15,3.02,-0.61,3.08,101.43
2009070100,16,3.29,-0.45,3.32,97.83
2009070100,17,3.69,-0.25,3.7,93.91
2009070100,18,3.92,-0.11,3.93,91.61
2009070100,19,3.76,-0.11,3.76,91.63
2009070100,20,3.26,-0.26,3.27,94.49
2009070100,21,2.58,-0.55,2.64,102.12
2009070100,22,1.85,-0.97,2.09,117.54
2009070100,23,1.13,-1.32,1.74,139.44
2009070100,24,0.47,-1.43,1.5,161.75
2009070100,25,-0.09,-1.15,1.15,184.26
2009070100,26,-0.48,-0.64,0.8,217.02
2009070100,27,-0.65,-0.11,0.66,260.67
2009070100,28,-0.58,0.26,0.63,294.19
2009070100,29,-0.35,0.44,0.56,321.83
2009070100,30,-0.1,0.47,0.48,348.26
2009070100,31,0.06,0.36,0.37,8.82
2009070100,32,0.02,0.22,0.23,5.57
2009070100,33,-0.28,0.15,0.32,297.72
2009070100,34,-0.86,0.2,0.89,283.21
2009070100,35,-1.39,0.3,1.42,282.27
2009070100,36,-1.44,0.33,1.48,282.73
2009070100,37,-0.76,0.19,0.78,284.13
2009070100,38,0.42,-0.05,0.42,97.26
2009070100,39,1.7,-0.32,1.73,100.66
2009070100,40,2.77,-0.54,2.83,101.08
2009070100,41,3.54,-0.72,3.61,101.53
2009070100,42,3.97,-0.88,4.07,102.43
2009070100,43,4.07,-1.03,4.2,104.17
2009070100,44,3.92,-1.22,4.1,107.31
